1,Dublin Classic 1999,1999-08-29,38
2,National Club Ch 1999,1999-09-05,28
3,European Youth Ch 1999,1999-09-12,19
38,Elm Mount Club Ch 1999 A,1999-09-19,7
39,Elm Mount Club Ch 1999 B,1999-09-19,8
40,Elm Mount Club Ch 1999 C,1999-09-19,6
41,Elm Mount Club Ch 1999 D,1999-09-19,5
42,Malahide Club Ch 1999,1999-09-20,15
43,Limerick Club Swiss 1999,1999-09-21,32
4,City of Dublin Senior 1999,1999-09-26,17
5,City of Dublin Intermediate 1999,1999-09-26,31
6,City of Dublin Junior 1999,1999-09-26,46
7,Guernsey Open 1999,1999-10-23,8
8,Limerick Open 1999 - senior,1999-10-25,47
9,Limerick Open 1999 - junior,1999-10-25,20
10,Braille Ch 1999,1999-10-26,6
11,World Youth Chs 1999,1999-11-06,59
16,Rathmines Senior 1999,1999-11-07,14
17,Rathmines Junior 1999,1999-11-07,37
18,Isle of Man 1999,1999-11-14,23
19,Kilkenny Masters 1999,1999-11-28,36
20,Kilkenny Challengers 1999,1999-11-28,49
21,Kilkenny Major 1999,1999-11-28,87
22,Kilkenny Minor 1999,1999-11-28,49
23,Bray Club Ch 1999,1999-12-02,6
24,European Team Ch (Batumi) 1999,1999-12-08,40
30,Linares Open (Spain),2000-01-14,11
25,Anibal Open 2000,2000-01-15,22
44,French Leagues,2000-01-15,15
28,LSCA (U16) 2000,2000-01-16,16
29,LSCA (U12) 2000,2000-01-16,39
26,LSCA (U19) 2000,2000-01-30,5
27,LSCA (U14) 2000,2000-01-30,32
31,Bunratty Masters 2000,2000-02-13,33
32,Bunratty Challengers 2000,2000-02-13,47
33,Bunratty Major 2000,2000-02-13,92
34,Bunratty Minor 2000,2000-02-13,73
45,Munster Leagues Div 2 1999-2000,2000-02-20,75
46,Armstrong Cup 1999-2000,2000-03-10,178
47,Heidenfeld Trophy 1999-2000,2000-03-11,153
36,O'Hanlon Cup 1999-2000,2000-03-12,108
48,Ennis Shield 1999-2000,2000-03-12,101
49,BEA North 1999-2000,2000-03-14,84
50,BEA South 1999-2000,2000-03-15,57
51,Bodley North 1999-2000,2000-03-16,0
52,Bodley South 1999-2000,2000-03-17,44
53,Branagan Cup 2000,2000-03-18,90
35,Cork Congress 2000,2000-03-26,64
54,Irish Junior Chs 2000 (U19),2000-04-02,6
55,Irish Junior Chs 2000 (U16),2000-04-02,14
56,Malahide Open 2000,2000-04-09,29
57,Malahide U1600,2000-04-09,45
58,Munster Div 1 1999-2000,2000-04-16,59
59,Senior Interprovincials 2000,2000-04-21,40
60,Irish Junior Chs 2000 (U14),2000-04-28,19
61,Irish Junior Chs 2000 (U12),2000-04-28,31
62,Irish Junior Chs 2000 (U10),2000-04-28,10
63,Irish Chs 2000 - Senior,2000-04-30,12
64,Irish Chs 2000 - Intermediate,2000-04-30,8
65,Irish Chs 2000 - Junior,2000-04-30,19
66,Irish Open 2000 - Ahane,2000-04-30,0
99,2000 Irish Championships - Weekender,2000-04-30,23
67,Ballyfermot 2000,2000-05-13,20
82,St Benildus 2000 Junior,2000-05-26,20
68,Charleville Club Ch 2000,2000-05-30,10
69,Drogheda Congress 2000 A,2000-06-05,6
70,Drogheda Congress 2000 B,2000-06-05,6
71,Drogheda Congress 2000 C,2000-06-05,5
72,Drogheda Congress 2000 D,2000-06-05,6
74,Drogheda Congress 2000 E,2000-06-05,6
75,Drogheda Congress 2000 F,2000-06-05,6
76,Drogheda Congress 2000 V,2000-06-05,6
77,National Club Ch 2000 - Bray,2000-06-10,14
78,Derry Millennium 2000,2000-06-11,7
100,2000 Derry Millennium - Intermediate,2000-06-11,14
101,2000 Derry Millennium - Open,2000-06-11,20
79,Match A Baburin v K O'Shea,2000-06-12,2
80,St Benildus Open 2000,2000-06-25,12
81,St Benildus 2000 Intermediate,2000-06-25,16
83,Drogheda Club Ch 2000 Senior,2000-07-07,9
84,Drogheda Club Ch 2000 Intermediate,2000-07-07,9
85,Phibsboro Club Ch 2000 Senior,2000-07-14,14
86,Phibsboro Club Ch 2000 Intermediate,2000-07-14,13
87,Phibsboro Club Ch 2000 Junior,2000-07-14,13
88,Glorney & Faber Cups 2000,2000-07-27,50
89,British Ch 2000 - Millfield,2000-08-13,23
96,Dublin Classic 2000,2000-08-20,64
90,Match A Baburin v S Collins,2000-08-24,2
91,Match M O'Siochru v S Connolly,2000-08-25,2
92,Rathmines Club Ch 2000 Senior,2000-08-26,10
93,Rathmines Club Ch 2000 Intermediate,2000-08-26,8
94,Rathmines Club Ch 2000 Junior,2000-08-26,6
95,Malahide Club Ch 2000,2000-08-27,14
97,MSO Masters 2000 - London,2000-08-28,10
98,Elm Mount Club Ch 2000,2000-08-30,24
102,2000 Zonal - (DMcM + JR),2000-09-14,17
103,2000 European Club Cup - (Bray),2000-09-30,48
104,2000 City of Dublin - Junior,2000-10-08,49
105,2000 City of Dublin - Intermediate,2000-10-08,24
106,2000 City of Dublin - Senior,2000-10-08,13
107,2000 Munster Championships,2000-10-15,19
108,2000 Connaught Championships - (SC + DP),2000-10-22,10
109,2000 Isle of Man - (PC),2000-10-22,8
110,2000 World Youth Championships - Under 12s - Girls,2000-10-23,12
111,2000 World Youth Championships - Under 12s - Boys,2000-10-23,12
112,2000 World Youth Championships - Under 14s - Boys,2000-10-23,12
113,2000 World Youth Championships - Under 16s - Boys,2000-10-23,12
114,2000 World Youth Championships - Under 18s - Boys,2000-10-23,12
115,2000 Braille Championships - Junior,2000-10-30,12
116,2000 Braille Championships - Open,2000-10-30,10
117,2000 Limerick Open - Under 1200,2000-10-30,15
118,2000 Limerick Open - Open,2000-10-30,28
119,2000 Ulster Championships - Junior,2000-11-05,9
120,2000 Ulster Championships - Intermediate,2000-11-05,14
121,2000 Ulster Championships - Matchplay,2000-11-05,6
122,2000 Olympiad - Women,2000-11-12,46
123,2000 Olympiad - Men,2000-11-12,62
124,2000 Four Nations Club League - (Bray),2000-11-26,23
125,2000 Kilkenny - Challengers,2000-11-26,50
126,2000 Kilkenny - James Mason,2000-11-26,71
127,2000 Kilkenny - Major,2000-11-26,44
128,2000 Kilkenny - Masters,2000-11-26,34
129,2000 York Viking Festival - (JR),2000-12-22,10
130,2000 Ulster Championships - Senior,2000-12-30,16
131,2001 Birmingham Winter Congress - (SS + GW),2001-01-07,12
132,2001 L.S.C.A. Championships - Under 12s,2001-01-14,23
