012 Bunratty 2011
022 Bunratty
032
042 25.02.2011
052 27.02.2011
062 34
072 34
082 0
092 Swiss
102 Gerry Graham
112
122 1:30 + 10 from move 1
132                                                                                        11.25.02  11.26.02  11.26.02  11.26.02  11.27.02  11.27.02
001    1    g Jones,Gawain                                      7685             5.0    1    10 b 1    16 w =    18 b 1     6 w 1     3 b =     4 w 1
001    2      Griffiths,Ryan-Rhys                               6897             4.5    2    33 b 1     4 w =     7 b =     9 w =    19 b 1    13 w 1
001    3    g Kosten,Tony                                       9934             4.5    3    25 b 1    18 w =     5 b 1    13 w =     1 w =    11 b 1
001    4    g Baburin,Alexander                                 7085             4.0    4    28 w 1     2 b =    14 w 1    11 b =     8 w 1     1 b 0
001    5    m Cooper,Lawrence                                   8310             4.0    5    12 b 1     7 w =     3 w 0    20 b =    23 w 1    16 b 1
001    6 m  g Short,Nigel                       2658 ENG             1965-06-01  4.0    6    19 w 1    11 b =     8 w 1     1 b 0     9 w =    14 b 1
001    7 m  g Williams,Simon                                    7732             4.0    7    23 w 1     5 b =     2 w =     8 b 0    15 b 1    20 w 1
001    8 m  m Collins,Sam                                       4564             3.5    8    26 b 1     9 w 1     6 b 0     7 w 1     4 b 0    10 w =
001    9 m    Fitzsimons,David                                  6236             3.5    9    27 w 1     8 b 0    22 w 1     2 b =     6 b =    18 w =
001   10 m    Freeman,Gordon                                    4153             3.5   10     1 w 0    31 b =    29 w 1    16 w =    25 b 1     8 b =
001   11 m    Hunt,Adam                                         7915             3.5   11    15 b 1     6 w =    16 b 1     4 w =    13 b =     3 w 0
001   12 f    Maroroa,Sue                                       8453             3.5   12     5 w 0    23 b 0    33 w 1    17 b =    26 b 1    24 w 1
001   13 m  m Pein,Malcolm                                      7555             3.5   13    34 w 1    14 b =    24 w 1     3 b =    11 w =     2 b 0
001   14 m  f Short,Philip                                      1557             3.5   14    29 b 1    13 w =     4 b 0    28 w 1    18 b 1     6 w 0
001   15 m    Cafolla,Peter                                      159             3.0   15    11 w 0    19 b =    27 w 1    25 b 1     7 w 0  0000 - =
001   16 m  f Daianu,Cristian-Clement                          12376             3.0   16    31 w 1     1 b =    11 w 0    10 b =    22 b 1     5 w 0
001   17 m    Duffy,Seamus                                       378             3.0   17    21 b =    24 b 0    30 w =    12 w =    31 b 1    19 w =
001   18 m    Heidenfeld,Mark                                   4017             3.0   18    30 w 1     3 b =     1 w 0    23 b 1    14 w 0     9 b =
001   19 m    Moynihan,Kieran                                    929             3.0   19     6 b 0    15 w =    32 b 1    26 w 1     2 w 0    17 b =
001   20 m    Osborne,Sam                                       6252             3.0   20  0000 - =    32 w =    28 b =     5 w =    21 b 1     7 b 0
001   21 m    Wolferink,Frans                                  16412             3.0   21    17 w =    22 b =    23 w 0    32 b 1    20 w 0    28 b 1
001   22 m    Courtney,John                                     6882             2.5   22  0000 - =    21 w =     9 b 0    30 b 1    16 w 0    23 b =
001   23 m    McMorrow,John                                     5320             2.5   23     7 b 0    12 w 1    21 b 1    18 w 0     5 b 0    22 w =
001   24 m    O'Connor,Jonathan                                 1243             2.5   24    32 b =    17 w 1    13 b 0  0000 - =  0000 - =    12 b 0
001   25 m    Wynarczyk,Raymond                                16404             2.5   25     3 w 0    30 b 1  0000 - =    15 w 0    10 w 0    27 b 1
001   26 m    Doyle,Hugh                                       10145             2.0   26     8 w 0    27 b =    31 w 1    19 b 0    12 w 0    29 w =
001   27 m    Eliens,Arno                                       9505             2.0   27     9 b 0    26 w =    15 b 0    33 b 1    28 w =    25 w 0
001   28 m    Fox,Anthony                                        456             2.0   28     4 b 0    33 w 1    20 w =    14 b 0    27 b =    21 w 0
001   29 m    Porter,Liam                                       1383             2.0   29    14 w 0    34 b =    10 b 0    31 w =    32 w =    26 b =
001   30 f wc Wilson,Alexandra                                  7938             2.0   30    18 b 0    25 w 0    17 b =    22 w 0    33 b =    32 w 1
001   31 m    Fehr,Jukka                             FIN             1975-07-18  1.5   31    16 b 0    10 w =    26 b 0    29 b =    17 w 0    33 w =
001   32 m    O'Riordan,Kieran                                 10235             1.5   32    24 w =    20 b =    19 w 0    21 w 0    29 b =    30 b 0
001   33 m    Magee,Ronan                                      10470             1.0   33     2 w 0    28 b 0    12 b 0    27 w 0    30 w =    31 b =
001   34 m    Murray,David                                      4941             0.5   34    13 b 0    29 w =       -         -         -    0000 - -
001   35 m    Orr,Mark                                          1350             0.0   35    37 w -       -         -         -         -         -  
001   36 m    Grennel,Tom                                                        0.0   36       -         -         -         -         -         -  
001   37 m    Hebden,Mark                       2550 ENG                         0.0   37    35 b -       -         -         -         -         -
